,created_at,user,user_followers_count,text,lang,Location,retweet_count,favorite_count
130,2016-07-08 08:32:43,didianelawson,141,https://t.co/6M3wzYle0u,und,,0,0
131,2016-07-08 08:32:28,dubble0h,4359,"RT @safaribot: ""Learning Path: Machine Learning"" is our most popular video on @safari right now https://t.co/74Q6V1Tcnq https://t.co/XXsWSP…",en,,5,0
132,2016-07-08 08:32:04,DamianoMe,3152,RT @Bots_news: #AI: Machine learning startup Dato changes name to Turi after trademark battle - GeekWire #… https://t.co/YT8kF8Ojnd https:/…,en,,3,0
133,2016-07-08 08:32:01,IVDiagnostics,110,Quantgene Achieves Breakthrough in Liquid Biopsy Early Cancer Detection by Combining Machine Learning with Next... https://t.co/9Ie5xh0s9Y,en,,1,0
134,2016-07-08 08:31:43,Bots_news,703,#AI: Can AI and machine learning transform the entertainment industry? #machinelearning https://t.co/D8haqo4AJ8 https://t.co/FLKm7BMVxU,en,,3,0
135,2016-07-08 08:31:28,ctricot,988,#AI: Key trends in machine learning and AI #MachineLearning https://t.co/z3lISqAKZr https://t.co/EdCfatSMxO,en,,0,0
136,2016-07-08 08:31:20,edwardmeinert,3084,"KDnuggets™ News 16:n17, May 11: Machine Learning Algorithms From Scratch; Big Data Leaders on LinkedIn; Data Science Career …",en,,0,0
137,2016-07-08 08:31:08,draftcn4pres,1191,RT @techjunkiejh: How to Apply #MachineLearning and #BigData Analytics to Real-Time Processing https://t.co/tvr5VG95zb https://t.co/6PKxtKd…,en,,8,0
138,2016-07-08 08:30:56,Bots_news,703,#AI: Use Apache Spark? This tool can help you tap machine learning #DataScience https://t.co/0VGcPIAgb1 https://t.co/rguMArG8RZ,en,,0,0
139,2016-07-08 08:30:54,DamianoMe,3152,"RT @eltonlawls: Studying machine learning fundamentals and https://t.co/QhmznMaUHC popped up. It's about reinventing explanation, really in…",en,,1,0
140,2016-07-08 08:30:49,Bots_news,703,#AI: Google just upped the ante in the machine-learning game by purchasing Moodstocks #Mach… https://t.co/yQAF3cpR9N https://t.co/CdUobdDtZX,en,,3,1
141,2016-07-08 08:30:40,Bots_news,703,#AI: Google’s new NHS deal is start of machine learning marketplace #ML https://t.co/ERKFV8wb9I https://t.co/504tXgFWLX,en,,0,0
142,2016-07-08 08:30:34,Bots_news,703,#AI: How Machine Learning Affects Everyday Life #MachineLearning https://t.co/Vd4Au5bSdk,en,,0,0
143,2016-07-08 08:30:33,viktoregri,2077,Using Machine Learning for Email Marketing Optimization - https://t.co/SYLI3C9RkO via @Shareaholic,en,,0,0
144,2016-07-08 08:30:08,DataconomyMedia,11718,Forget Siri: Machine Learning and AI is Coming For Your Smartphone - Dataconomy https://t.co/S7G7ViGt58 #AI #ML https://t.co/SLuPm27yK2,en,,2,1
145,2016-07-08 08:30:08,sarveshgupta89,1180,"Yes, They do &gt; Sentiment analysis #machinelearning open up world of possibilities - https://t.co/16flx8e9pl #BigData",en,,0,0
146,2016-07-08 08:30:06,DigitCulture,339,Comprendre le #chatbot pour briller en société https://t.co/Irvl6DHAko   v/@AlexJulien #bot https://t.co/F0Qirx02EI,fr,,0,0
147,2016-07-08 08:29:51,homeAIinfo,54095,Course Machine Learning for Medical Applicatons https://t.co/M6KNbOcCNK,en,,0,0
148,2016-07-08 08:29:49,Bots_news,703,#AI: One-Third of Big Data Developers Use Machine Learning #BigData https://t.co/9d6gEygDPQ https://t.co/2U1tKFt8vt,en,,0,1
149,2016-07-08 08:29:39,Bots_news,703,#AI: Smartphone health data slammed as 'voodoo machine learning' #ArtificialIntelligence https://t.co/oP3nx50hq2 https://t.co/i6oZThmCUN,en,,1,0
150,2016-07-08 08:29:19,PekkaPuhakka,14984,"#TopStory: #LinkedDta:  Machine learning is all the rage with Big Data develope… https://t.co/E40S7Wy7aL, see more https://t.co/ilHPBQvn2Z",en,,0,1
151,2016-07-08 08:28:44,Bots_news,703,#AI: Google acquires French image recognition startup Moodstocks to boost machine learning … https://t.co/P646PmuUgB https://t.co/PsB4NOgJnm,en,,0,0
152,2016-07-08 08:27:46,Bots_news,703,"#AI: Coming Soon to a Mainframe Near You: Machine Learning, Part 1 - Syncsort blog #Machine… https://t.co/S00Kps05bl https://t.co/MLcmdphAfy",en,,1,1
153,2016-07-08 08:27:06,RobertPeteuil,18669,#bigdata Roundup - IBM Watson's Big Moves &amp; Machine Learning Everywhere https://t.co/LyXIKX9eKY https://t.co/p0NledGTVN,en,,0,2
154,2016-07-08 08:26:55,timaldridge,893,RT @bryanrieger: Provides a conceptual framework to help integrate machine-learning capabilities into your designs. https://t.co/NHibyF1tAn…,en,,3,0
